PING 54.250.228.196 (54.250.228.196) 56(84) bytes of data.
64 bytes from 54.250.228.196: icmp_seq=178 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=179 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=180 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=181 ttl=44 time=37.2 ms
64 bytes from 54.250.228.196: icmp_seq=182 ttl=44 time=37.2 ms
64 bytes from 54.250.228.196: icmp_seq=183 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=184 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=185 ttl=44 time=36.8 ms
64 bytes from 54.250.228.196: icmp_seq=186 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=187 ttl=44 time=37.2 ms
64 bytes from 54.250.228.196: icmp_seq=188 ttl=44 time=37.3 ms
64 bytes from 54.250.228.196: icmp_seq=189 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=190 ttl=44 time=36.7 ms
64 bytes from 54.250.228.196: icmp_seq=191 ttl=44 time=49.5 ms
64 bytes from 54.250.228.196: icmp_seq=192 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=193 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=194 ttl=44 time=37.5 ms
64 bytes from 54.250.228.196: icmp_seq=195 ttl=44 time=36.8 ms
64 bytes from 54.250.228.196: icmp_seq=196 ttl=44 time=37.8 ms
64 bytes from 54.250.228.196: icmp_seq=197 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=198 ttl=44 time=37.1 ms
64 bytes from 54.250.228.196: icmp_seq=199 ttl=44 time=37.2 ms
64 bytes from 54.250.228.196: icmp_seq=200 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=201 ttl=44 time=36.8 ms
64 bytes from 54.250.228.196: icmp_seq=202 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=203 ttl=44 time=36.8 ms
64 bytes from 54.250.228.196: icmp_seq=204 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=205 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=206 ttl=44 time=36.6 ms
64 bytes from 54.250.228.196: icmp_seq=207 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=208 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=209 ttl=44 time=46.3 ms
64 bytes from 54.250.228.196: icmp_seq=210 ttl=44 time=37.1 ms
64 bytes from 54.250.228.196: icmp_seq=211 ttl=44 time=37.1 ms
64 bytes from 54.250.228.196: icmp_seq=212 ttl=44 time=37.2 ms
64 bytes from 54.250.228.196: icmp_seq=214 ttl=44 time=37.6 ms
64 bytes from 54.250.228.196: icmp_seq=215 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=216 ttl=44 time=37.2 ms
64 bytes from 54.250.228.196: icmp_seq=217 ttl=44 time=37.1 ms
64 bytes from 54.250.228.196: icmp_seq=218 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=219 ttl=44 time=36.7 ms
64 bytes from 54.250.228.196: icmp_seq=220 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=221 ttl=44 time=37.4 ms
64 bytes from 54.250.228.196: icmp_seq=222 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=223 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=224 ttl=44 time=37.1 ms
64 bytes from 54.250.228.196: icmp_seq=225 ttl=44 time=37.2 ms
64 bytes from 54.250.228.196: icmp_seq=226 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=227 ttl=44 time=36.8 ms
64 bytes from 54.250.228.196: icmp_seq=228 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=229 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=230 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=231 ttl=44 time=36.7 ms
64 bytes from 54.250.228.196: icmp_seq=232 ttl=44 time=37.1 ms
64 bytes from 54.250.228.196: icmp_seq=233 ttl=44 time=44.7 ms
64 bytes from 54.250.228.196: icmp_seq=234 ttl=44 time=37.1 ms
64 bytes from 54.250.228.196: icmp_seq=235 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=236 ttl=44 time=37.5 ms
64 bytes from 54.250.228.196: icmp_seq=237 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=238 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=239 ttl=44 time=37.3 ms
64 bytes from 54.250.228.196: icmp_seq=240 ttl=44 time=37.1 ms
64 bytes from 54.250.228.196: icmp_seq=241 ttl=44 time=38.7 ms
64 bytes from 54.250.228.196: icmp_seq=242 ttl=44 time=37.2 ms
64 bytes from 54.250.228.196: icmp_seq=243 ttl=44 time=37.1 ms
64 bytes from 54.250.228.196: icmp_seq=244 ttl=44 time=37.5 ms
64 bytes from 54.250.228.196: icmp_seq=245 ttl=44 time=36.8 ms
64 bytes from 54.250.228.196: icmp_seq=246 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=247 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=248 ttl=44 time=49.3 ms
64 bytes from 54.250.228.196: icmp_seq=249 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=250 ttl=44 time=36.9 ms
