PING 18.228.24.236 (18.228.24.236) 56(84) bytes of data.
64 bytes from 18.228.24.236: icmp_seq=152 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=153 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=154 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=155 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=156 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=157 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=158 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=159 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=160 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=161 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=162 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=163 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=164 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=165 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=166 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=167 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=168 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=169 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=170 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=171 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=172 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=173 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=174 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=175 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=176 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=177 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=178 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=179 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=180 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=181 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=182 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=183 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=184 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=185 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=186 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=187 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=188 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=189 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=190 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=191 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=192 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=193 ttl=41 time=324 ms
